Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/synch,4,0,32000.0,42669.86477500177,31053.445299970917,54900.579800014384,1264.0,0.07282531285865121,0.0,53000,53000,55000,55000,55000,55000,55000,55000,55000,55000,55000
,Aggregated,4,0,32000.0,42669.86477500177,31053.445299970917,54900.579800014384,1264.0,0.07282531285865121,0.0,53000,53000,55000,55000,55000,55000,55000,55000,55000,55000,55000
