Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/baseline,376,0,1500.0,1836.6630997324853,157.97269996255636,8089.981299941428,99.94680851063829,6.416910630460906,0.0,1500,2100,2500,2700,3700,4400,5400,5900,8100,8100,8100
,Aggregated,376,0,1500.0,1836.6630997324853,157.97269996255636,8089.981299941428,99.94680851063829,6.416910630460906,0.0,1500,2100,2500,2700,3700,4400,5400,5900,8100,8100,8100
