Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/asynch,196,0,4400.0,4788.63339030602,717.2898999415338,12671.222600038163,565.6173469387755,3.376635335484497,0.0,4500,5700,6300,7000,8700,9700,11000,12000,13000,13000,13000
,Aggregated,196,0,4400.0,4788.63339030602,717.2898999415338,12671.222600038163,565.6173469387755,3.376635335484497,0.0,4500,5700,6300,7000,8700,9700,11000,12000,13000,13000,13000
