Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/synch,1,0,39355.37619993556,39355.37619993556,39355.37619993556,39355.37619993556,1264.0,0.02539518897888478,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
,Aggregated,1,0,39355.37619993556,39355.37619993556,39355.37619993556,39355.37619993556,1264.0,0.02539518897888478,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
