Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/baseline,27,0,120.0,216.7000222209565,71.22200005687773,1744.40379999578,99.33333333333333,0.48085644687397155,0.0,120,140,160,180,350,880,1700,1700,1700,1700,1700
,Aggregated,27,0,120.0,216.7000222209565,71.22200005687773,1744.40379999578,99.33333333333333,0.48085644687397155,0.0,120,140,160,180,350,880,1700,1700,1700,1700,1700
