Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/synch,150,14,12000,14068.22402749332,69.64435699956084,30005.828827000187,962.18,2.540532384953883,0.23711635592902905,12000,17000,20000,21000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,150,14,12000,14068.22402749332,69.64435699956084,30005.828827000187,962.18,2.540532384953883,0.23711635592902905,12000,17000,20000,21000,30000,30000,30000,30000,30000,30000,30000
