Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/asynch,280,0,59,69.96236750045293,24.31030001025647,359.1613000025973,564.0107142857142,4.712577654817382,0.0,59,71,82,92,120,150,180,210,360,360,360
GET,/result/[task_id],1800,0,13,15.98068066675397,6.621000007726252,175.46359996777028,127.97277777777778,30.295142066683173,0.0,13,16,18,19,23,30,51,70,160,180,180
POLL,tier2_completion,108,0,20000.0,19907.568883012842,2022.4616527557373,35371.6254234314,957.8796296296297,1.8177085240009903,0.0,20000,26000,29000,29000,35000,35000,35000,35000,35000,35000,35000
,Aggregated,2188,0,15,1004.7404604504894,6.621000007726252,35371.6254234314,224.7372029250457,36.82542824550155,0.0,15,19,24,33,72,280,23000,29000,35000,35000,35000
