Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/synch,72,0,2100.0,1996.4322055562257,625.0489999656565,4099.694400036242,1262.6666666666667,1.2320485002095756,0.0,2100,2400,2700,2800,3100,3200,3400,4100,4100,4100,4100
,Aggregated,72,0,2100.0,1996.4322055562257,625.0489999656565,4099.694400036242,1262.6666666666667,1.2320485002095756,0.0,2100,2400,2700,2800,3100,3200,3400,4100,4100,4100,4100
