Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/synch,24,0,210,240.23264537502578,14.305916000012076,779.5319930000915,954.7916666666666,0.40796092865726474,0.0,210,230,420,420,740,760,780,780,780,780,780
,Aggregated,24,0,210,240.23264537502578,14.305916000012076,779.5319930000915,954.7916666666666,0.40796092865726474,0.0,210,230,420,420,740,760,780,780,780,780,780
