Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/asynch,336,25,110.0,1743.833151786627,24.69680004287511,21093.823399976827,522.2321428571429,5.721493116115014,0.42570633304427186,110,150,200,220,400,21000,21000,21000,21000,21000,21000
GET,/result/[task_id],1444,0,31,2881.335241550698,6.944799970369786,10130.187499977183,84.48407202216066,24.588797796637145,0.0,31,150,10000,10000,10000,10000,10000,10000,10000,10000,10000
POLL,tier2_completion,50,0,12000.0,17837.545018196106,2019.6928977966309,51468.03307533264,957.9,0.8514126660885437,0.0,18000,18000,19000,28000,38000,48000,51000,51000,51000,51000,51000
,Aggregated,1830,25,56,3081.1220102236725,6.944799970369786,51468.03307533264,188.72131147540983,31.1617035788407,0.42570633304427186,56,170,10000,10000,10000,10000,21000,21000,48000,51000,51000
