Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/asynch,27,0,26,28.82741110752923,21.285499969962984,57.20899999141693,563.9629629629629,0.4687252715858257,0.0,26,29,31,31,37,39,57,57,57,57,57
GET,/result/[task_id],26,0,17,56.51052691302119,9.076499962247908,1023.3733999775723,958.0,0.45136507634190626,0.0,17,19,20,20,32,40,1000,1000,1000,1000,1000
POLL,tier2_completion,26,0,2014.4195556640625,2066.60219339224,2014.4195556640625,3026.4296531677246,958.0,0.45136507634190626,0.0,2000,2000,2000,2000,2000,2000,3000,3000,3000,3000,3000
,Aggregated,79,0,29,708.5983649093681,9.076499962247908,3026.4296531677246,823.3291139240506,1.3714554242696382,0.0,29,1000,2000,2000,2000,2000,2000,3000,3000,3000,3000
