Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/asynch,187,2,57,387.43835294066383,24.19179998105392,30015.31009998871,557.9090909090909,3.146921036470372,0.03365690948096654,57,65,75,84,100,160,320,30000,30000,30000,30000
GET,/result/[task_id],915,63,15,707.969173989475,5.8821000275202096,10026.367800019216,154.751912568306,15.398036087542193,1.060192648650446,15,19,22,26,73,10000,10000,10000,10000,10000,10000
POLL,tier2_completion,88,0,17000.0,15858.724022453482,2023.0233669281006,30230.515718460083,957.9318181818181,1.4809040171625278,0.0,17000,20000,23000,23000,26000,26000,30000,30000,30000,30000,30000
,Aggregated,1190,65,18,1777.9920001480505,5.8821000275202096,30230.515718460083,277.5,20.025861141175092,1.0938495581314127,18,34,56,69,10000,14000,23000,23000,30000,30000,30000
