Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/asynch,291,0,42,47.32735010996159,17.385927999384876,220.6387240003096,546.6632302405499,4.926326073314154,0.0,42,50,57,60,71,97,120,160,220,220,220
GET,/result/[task_id],601,0,5,40.499941584044024,2.7163129998371005,10003.635039000073,339.73044925124793,10.174302302617892,0.0,5,6,7,8,11,20,38,47,10000,10000,10000
POLL,tier2_completion,171,0,7100,8049.590991951569,2004.2979717254639,21522.49526977539,1006.3040935672515,2.8948514039062556,0.0,7100,12000,12000,12000,12000,12000,12000,14000,22000,22000,22000
,Aggregated,1063,0,11,1330.7552054541184,2.7163129998371005,21522.49526977539,503.6077140169332,17.995479779838302,0.0,11,38,52,66,7000,12000,12000,12000,14000,22000,22000
